PK_Team,Team
551,may be vii
552,may-be 1960
553,mebi
554,merope
555,merope iii
556,meteor
557,mexico
558,mexico-1
559,mexico-2
560,mignon-3
561,milwaukee athletic club-1
562,minerva amsterdam
563,minotaur
564,mirtala
565,miss nippon iv
566,miss nippon v
567,missouri athletic club-3
568,mitaii
569,mizar
570,mohawk indians-2
571,moldova
572,monaco
573,monaco-1
574,mongolia
575,monica
576,montenegro
577,moorina
578,morena
579,morocco
580,moseley wanderers
581,mosk ii
582,mouchette-2
583,mound city rowing club-2
584,mozambique
585,mutafo
586,myanmar
587,myojo
588,mystery
589,namibia
590,namoussa
591,nan-2
592,nauru
593,nausikaa 4
594,nautikos omilos-3
595,nepal
596,nephos i
597,neptun ii
598,netherlands
599,netherlands antilles
600,netherlands-1
601,netherlands-2
602,new york athletic club-1
603,new york athletic club-4
604,new zealand
605,new zealand-1
606,new zealand-2
607,nicaragua
608,niger
609,nigeria
610,nigeria-1
611,nigeria-2
612,nikh
613,nina
614,nina claire-2
615,nirefs
616,nirwana
617,nokaut ii
618,nora
619,noreg
620,norman-1
621,norna
622,nortazo
623,north borneo
624,north korea
625,north korea-1
626,north korea-2
627,north yemen
628,norway
629,norway-1
630,norway-2
631,norway-3
632,norwegian rowing association
633,nrnberg
634,nurdug ii
635,nykjbings paa falster
636,oleander ii
637,oleander xii
638,olen
639,olimpia
640,olle
641,olympion
642,oman
643,omas helliniki p. s.
644,omilos ereton peiraios-2
645,omilos ereton smyrnis
646,oranje
647,ormsund roklub-2
648,paka
649,paka v
650,pakaria
651,pakistan
652,palau
653,palestine
654,pam
655,pampero
656,pan
657,pan ii
658,pan-hellenic athletic club
659,panama
660,pandora
661,panhellenios gymnastikos syllogos-1
662,pannonia rc/national rc
663,papua new guinea
664,paraguay
665,partenope
666,pasodoble
667,patricia
668,paula
669,pegaso
670,peiraikos syndesmos-2
671,peri
672,peri ii
673,persey
674,peru
675,pettit-poucet-6
676,"phalainis ton thorichtou ""hydra""-2"
677,"phalainis ton thorichtou ""psara""-3"
678,philippines
679,phoenix
680,pierre et jean-4
681,pigoule
682,pimm
683,pirouette-5
684,pistoja/firenze
685,plume-patte-5
686,poland
687,poland-1
688,poland-2
689,poland-3
690,polyteknisk roklub-1
691,portugal
692,portugal-1
693,portugal-2
694,posillipo iii
695,potsdam
696,pousse-moi pas vii
697,primorka
698,proteus ii
699,puerto rico
700,puerto rico-1
701,pupilles de neptune de lille #1-3
702,pupilles de neptune de lille #2-1
703,pupilles de neptune de lille-1
704,qatar
705,qu'importe
706,quand-mme-2
707,quand-mme-33
708,quicksilver-2
709,racing club de france
710,raili
711,ral-club barcelona
712,ralia
713,rampage
714,ravenswood boat club-2
715,red dragon
716,red indian
717,refugee olympic athletes
718,relampago
719,rhodesia
720,rhythm
721,riccar
722,rififi
723,rika ii
724,rn-2
725,roddklubben af 1912-2
726,roehampton-1
727,roklubb kbnhavn-2
728,roma
729,romania
730,romania-1
731,romania-2
732,romolo
733,rose pompon
734,rostock
735,rowing club castillon-3
736,roy
737,royal club nautique de gand
738,rozenn-3
739,rush iv
740,rush v
741,rush vii
742,russia
743,russia-1
744,russia-2
745,russia-3
746,rwanda
747,saar
748,sabre
749,saga-2
750,sagaii
751,saint kitts and nevis
752,saint lucia
753,saint vincent and the grenadines
754,salamander
755,samoa
756,san marino
757,sandra
758,sans atout-1
759,santa maria
760,sao tome and principe
761,sarcelle-3
762,saskia
763,sass-2
764,saudi arabia
765,scamasaxe-34
766,scaup
767,scotia
768,scotland-2
769,scotland-3
770,scram
771,sea dog-2
772,seawanhaka boat club-1
773,senegal
774,serbia
775,serbia and montenegro
776,serendipity
777,seychelles
778,sheerio
779,shoveller
780,shrew ii
781,siames-cat
782,sibindi-2
783,sidi-fekkar-14
784,sierra leone
785,sif
786,sildra-1
787,silja
788,singapore
789,singapore-1
790,singy-7
791,sirene
792,sjhxa
793,sjovinge
794,skum
795,slaghoken
796,slaghoken ii
797,slovakia
798,slovakia-1
799,slovakia-2
800,slovenia
801,slovenia-2
802,smyrna
803,snap
804,snowten iii
805,snude
806,societ nautique de la marne
807,societ nautique de la marne-1
808,societ nautique de la marne-3
809,socit nautique de bayonne
810,socit nautique de bayonne-2
811,socit nautique de la basse seine-1
812,solomon islands
813,somalia
814,sonja ii
815,sorais-2
816,souriceau-4
817,south africa
818,south africa-1
819,south africa-2
820,south korea
821,south korea-1
822,south korea-2
823,south sudan
824,south vietnam
825,south yemen
826,souvenance
827,soviet union
828,soviet union-1
829,soviet union-2
830,soviet union-3
831,spain
832,spain-1
833,spain-2
834,springbok
835,squid iii
836,sri lanka
837,st. louis amateur athletic association
838,st. louis southwest turnverein #1-2
839,st. louis southwest turnverein #2-3
840,st. margrite
841,st. rose-2
